{'.id': '*2CE7B4', 'type': 'NS', 'data': 'ns1.1984hosting.com', 'name': '1984.is', 'ttl': '14m3s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B5', 'type': 'A', 'data': '93.158.213.92', 'name': 'tracker.opentrackr.org', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B6', 'type': 'A', 'data': '208.72.192.177', 'name': 'dns-02.bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B7', 'type': 'NS', 'data': 'ns3.utorrent.com', 'name': 'bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B8', 'type': 'NS', 'data': 'ens-06.bittorrent.com', 'name': 'bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B9', 'type': 'NS', 'data': 'dns-02.bittorrent.com', 'name': 'bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7BA', 'type': 'NS', 'data': 'ns2.utorrent.com', 'name': 'bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7BB', 'type': 'NS', 'data': 'dns-03.bittorrent.com', 'name': 'bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7BC', 'type': 'NS', 'data': 'ns1.utorrent.com', 'name': 'bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7BD', 'type': 'A', 'data': '204.152.200.186', 'name': 'ns3.utorrent.com', 'ttl': '14m46s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7BE', 'type': 'A', 'data': '208.72.192.166', 'name': 'ens-06.bittorrent.com', 'ttl': '14m46s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
