indicator,asn,country_code2,name,description,modified,created
128.201.140.29,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.92,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.100,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.27,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
128.201.141.6,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:May 2023,,2023-06-30T23:02:10.939000,2023-05-01T00:00:23.474000
128.201.142.5,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.205,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.96,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.103,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.162,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
128.201.140.173,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.79,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.33,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.175,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.217,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.38,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:May 2023,,2023-06-30T23:02:10.939000,2023-05-01T00:00:23.474000
128.201.140.116,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.75,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.83,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.100,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.35,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.82,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.64,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.15,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.83,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.142.132,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.143.153,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.189,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.98,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.221,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.163,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.143.238,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.81,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.64,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.150,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.231,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
