protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,185.224.128.184,30767,122.144.6.229,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,96.44.142.190,5104,122.144.6.224,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,27099,122.144.6.228,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,31115,122.144.6.231,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,11351,103.136.6.162,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,9165,122.144.6.228,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,29163,103.136.6.162,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,72.251.232.180,5122,122.144.6.224,5060,IN.bound,,,,US,AS29791 internap holding llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:35:07.483
tcp,49.235.237.222,50386,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
tcp,185.224.128.184,12171,122.144.6.231,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
