protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
udp,203.123.56.246,49624.0,94.130.71.87,46732.0,,,,OUT.bound
udp,203.123.56.246,40641.0,34.149.173.23,443.0,,,,OUT.bound
tcp,203.123.56.246,62680.0,157.240.208.35,443.0,established,,,OUT.bound
gre,140.0.23.161,,203.123.56.246,,,,,IN.bound
tcp,203.123.56.246,48132.0,130.44.212.234,443.0,established,,,OUT.bound
tcp,203.123.56.246,35752.0,45.121.219.242,443.0,established,,,OUT.bound
udp,203.123.56.246,35946.0,122.144.1.1,53.0,,,,OUT.bound
udp,146.196.110.84,49438.0,122.144.2.2,53.0,,,,OUT.bound
udp,203.123.56.246,48934.0,34.110.200.237,443.0,,,,OUT.bound
udp,203.123.56.246,51496.0,144.76.92.16,49714.0,,,,OUT.bound
udp,203.123.56.246,52332.0,34.111.174.196,443.0,,,,OUT.bound
udp,203.123.56.246,37402.0,23.214.169.166,443.0,,,,OUT.bound
udp,203.123.56.246,42261.0,34.117.97.41,443.0,,,,OUT.bound
udp,146.196.110.84,32897.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,55451.0,34.107.243.93,443.0,established,,,OUT.bound
tcp,203.123.56.246,50631.0,185.82.216.62,443.0,close,,,OUT.bound
udp,203.123.56.246,44852.0,74.125.68.95,443.0,,,,OUT.bound
tcp,203.123.56.246,44750.0,157.240.208.34,443.0,established,,,OUT.bound
tcp,203.123.56.246,56973.0,134.119.183.59,80.0,established,,,OUT.bound
tcp,203.123.56.246,52492.0,185.199.108.133,443.0,established,,,OUT.bound
tcp,203.123.56.246,48714.0,74.125.200.94,443.0,established,,,OUT.bound
udp,203.123.56.246,36561.0,34.102.147.19,443.0,,,,OUT.bound
tcp,203.123.56.246,60066.0,74.125.200.95,443.0,established,,,OUT.bound
tcp,203.123.56.246,62642.0,157.240.208.35,443.0,close,,,OUT.bound
tcp,203.123.56.246,52176.0,74.125.24.95,443.0,established,,,OUT.bound
udp,203.123.56.246,59105.0,142.250.4.95,443.0,,,,OUT.bound
tcp,203.123.56.246,37382.0,163.70.153.34,443.0,established,,,OUT.bound
tcp,203.123.56.246,49164.0,162.159.133.233,443.0,established,,,OUT.bound
udp,203.123.56.246,52637.0,74.125.200.190,443.0,,,,OUT.bound
tcp,203.123.56.246,60621.0,185.33.86.224,888.0,close,,,OUT.bound
udp,146.196.110.84,44694.0,8.8.8.8,53.0,,,,OUT.bound
tcp,203.123.56.246,55434.0,23.56.239.160,443.0,established,,,OUT.bound
tcp,45.141.215.6,110.0,203.123.56.246,49396.0,established,,,IN.bound
tcp,203.123.56.246,55431.0,40.126.35.144,443.0,established,,,OUT.bound
tcp,203.123.56.246,33137.0,216.239.36.135,443.0,established,,,OUT.bound
tcp,203.123.56.246,58826.0,163.181.100.240,443.0,established,,,OUT.bound
tcp,203.123.56.246,62678.0,157.240.208.35,443.0,established,,,OUT.bound
tcp,203.123.56.246,61969.0,192.95.36.142,443.0,established,,,OUT.bound
tcp,203.123.56.246,38602.0,157.240.208.34,443.0,established,,,OUT.bound
tcp,203.123.56.246,59744.0,23.50.117.203,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,39692.0,23.214.169.149,443.0,,,,OUT.bound
udp,203.123.56.246,15885.0,47.241.62.3,6000.0,,,,OUT.bound
udp,203.123.56.246,47094.0,172.217.194.95,443.0,,,,OUT.bound
tcp,203.123.56.246,59376.0,134.119.183.59,80.0,established,,,OUT.bound
tcp,203.123.56.246,53757.0,190.2.153.208,40001.0,established,,,OUT.bound
tcp,203.123.56.246,56808.0,134.119.183.59,80.0,established,,,OUT.bound
tcp,203.123.56.246,43878.0,74.125.24.139,443.0,established,,,OUT.bound
udp,203.123.56.246,36572.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,59745.0,185.82.216.62,443.0,established,,,OUT.bound
udp,203.123.56.246,38909.0,34.111.174.196,443.0,,,,OUT.bound
udp,203.123.56.246,57175.0,163.70.153.63,443.0,,,,OUT.bound
tcp,203.123.56.246,49631.0,34.149.100.209,443.0,established,,,OUT.bound
tcp,203.123.56.246,60619.0,40.126.35.145,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,47955.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,40868.0,34.101.5.74,443.0,established,,,OUT.bound
tcp,203.123.56.246,63316.0,106.0.62.84,80.0,close,,,OUT.bound
tcp,203.123.56.246,59340.0,34.149.219.180,443.0,established,,,OUT.bound
tcp,190.2.153.202,40001.0,203.123.56.246,53422.0,established,,,IN.bound
tcp,203.123.56.246,52805.0,134.119.183.61,80.0,established,,,OUT.bound
tcp,203.123.56.246,47940.0,157.240.208.60,443.0,established,,,OUT.bound
tcp,203.123.56.246,50634.0,185.82.216.62,443.0,close,,,OUT.bound
udp,203.123.56.246,34341.0,34.117.97.41,443.0,,,,OUT.bound
tcp,203.123.56.246,57796.0,23.214.169.168,443.0,established,,,OUT.bound
